Date,Market,Purity,USD,EUR,GBP,INR,AED,CNY
1982-08,Chennai,18K,279.52,257.4,160.53,2646.75,1026.88,690.17
1999-04,Kolkata,22K,258.28,242.37,159.56,11120.46,948.65,2138.12
1998-05,Dubai,24K,290.0,260.6,174.99,11963.84,,2400.86
2000-01,Mumbai,18K,209.2,226.92,138.17,9393.37,768.37,1731.83
2018-09,Delhi,18K,942.18,797.5,705.33,64366.34,3460.72,6224.14
2007-06,Chennai,18K,519.21,378.41,,21420.34,1906.62,3945.69
1990-03,New York,18K,,212.02,161.82,5018.63,1054.88,1369.08
2005-09,Mumbai,24K,446.86,360.28,246.18,19705.44,1641.25,3659.23
2016-07,Mumbai,18K,964.85,871.25,715.34,64813.23,3543.89,6407.18
1996-04,Chennai,24K,377.49,292.84,242.24,13354.33,1386.46,3138.65
1983-05,Delhi,24K,426.05,442.37,280.82,4294.49,1566.23,931.87
2006-05,London,18K,460.03,366.18,249.67,20845.44,1689.67,3667.43
1997-08,Mumbai,24K,326.32,288.1,199.34,11826.11,1198.48,2705.28
1993-10,Dubai,22K,325.21,272.34,216.66,10125.91,1194.89,1877.39
1985-05,Kolkata,24K,319.33,396.61,247.86,3912.23,1169.62,932.57
2020-08,Delhi,24K,1722.33,1507.67,1342.15,127695.82,6326.35,11879.49
2010-04,London,24K,1232.07,930.89,797.29,56322.9,4525.24,8334.21
2016-02,Dubai,22K,1121.66,1012.84,831.59,75346.32,4119.83,7448.44
2015-05,Mumbai,18K,889.83,801.8,582.18,57028.85,3268.36,5588.4
1990-06,Delhi,22K,347.21,256.13,195.49,6062.9,1274.38,1653.96
2006-03,Dubai,22K,561.1,446.63,304.53,25425.34,2060.91,4473.19
1987-05,New York,22K,416.35,341.56,254.25,5376.22,1531.64,1548.51
2012-06,New York,18K,1246.9,970.28,786.69,66550.95,4579.88,7866.64
1993-09,New York,24K,361.57,302.79,240.88,11258.09,1328.49,2087.3
1985-07,Mumbai,18K,228.12,283.33,177.07,2794.86,835.57,666.22
1981-06,Delhi,22K,,338.73,213.07,3722.95,1587.14,869.71
1986-01,Chennai,22K,325.63,311.02,222.3,4094.17,1196.74,1126.34
2005-09,Kolkata,22K,406.66,327.87,224.03,17932.66,1493.6,3330.03
2021-10,New York,24K,1800.31,1522.06,1308.77,133093.86,6612.81,11611.56
1984-01,Kolkata,24K,359.32,424.19,268.73,4051.2,1319.38,922.91
2004-02,London,22K,371.58,298.92,202.85,16822.24,1364.8,3075.47
1981-12,Chennai,24K,459.55,361.13,227.16,3969.11,1692.08,927.22
2020-12,Mumbai,24K,1762.51,1542.85,1373.47,130675.18,6473.95,12156.66
1990-07,Mumbai,18K,289.24,213.37,162.85,5050.57,1061.59,1377.8
1981-03,Dubai,22K,415.41,326.45,205.34,3587.9,1529.57,
2016-09,Mumbai,18K,961.16,867.92,712.61,64565.51,3530.35,6382.7
2010-09,Mumbai,24K,1241.62,938.11,803.47,56759.67,4560.33,8398.83
2002-02,Mumbai,24K,310.47,328.81,206.66,15080.45,1140.35,2569.74
2020-01,Mumbai,22K,1605.99,1405.84,1251.49,119070.6,5899.04,11077.09
1985-08,New York,18K,233.1,289.51,180.93,2855.77,853.78,680.74
1999-06,Delhi,18K,204.11,191.53,,8788.09,749.68,1689.67
2009-04,London,24K,964.56,691.43,616.21,46624.76,3542.73,6588.88
1988-02,Chennai,18K,327.88,264.29,184.35,4532.8,1203.84,1220.47
2011-06,Chennai,22K,1424.61,1024.29,889.07,66609.9,5232.51,9199.68
1999-02,Mumbai,18K,208.77,195.9,128.97,8988.66,766.79,1728.24
1991-08,New York,18K,271.71,208.81,154.14,6169.57,997.23,1445.61
2013-04,Kolkata,22K,1301.23,,833.36,75827.85,4779.4,8006.96
2021-08,New York,18K,1353.31,1144.14,983.81,100047.43,4970.89,8728.47
2012-09,Kolkata,24K,1638.52,1275.01,1033.76,,6018.28,10337.32
1998-08,Mumbai,22K,277.42,249.3,167.4,11444.75,1018.93,2296.69
2005-10,Kolkata,24K,441.64,356.07,243.3,19475.06,1622.06,3616.45
2016-06,Mumbai,24K,1241.25,1120.83,920.26,83379.78,4559.09,8242.6
2015-12,Delhi,22K,1088.29,980.62,712.02,69747.44,3997.27,6834.73
2017-12,London,22K,1128.73,1000.26,876.36,,4145.78,7627.03
1992-10,Delhi,22K,308.59,,175.44,,1133.09,1706.85
2020-09,Delhi,24K,1758.37,1539.22,1370.24,130367.86,6458.73,12128.07
2000-05,Kolkata,18K,208.8,226.49,137.91,9375.55,766.91,1728.54
1995-03,Kolkata,24K,391.17,297.35,247.85,12669.72,1436.7,3266.34
2014-01,New York,24K,1259.63,947.73,764.04,76832.68,4626.63,7760.48
2021-04,New York,18K,1312.05,1109.26,953.82,96997.3,4819.34,8462.37
1983-08,Chennai,24K,421.83,438.0,278.04,4252.01,1550.74,922.65
2006-09,Dubai,22K,547.91,436.13,297.37,24827.47,2012.45,4368.0
2004-12,Chennai,22K,374.25,301.07,204.31,16942.88,1374.59,3097.53
2004-09,New York,18K,305.88,246.07,166.98,13847.65,1123.47,2531.65
2007-08,Chennai,22K,646.91,471.48,322.81,26689.05,2375.58,4916.2
2002-02,Mumbai,18K,233.86,247.67,155.67,11359.19,858.96,1935.63
2007-10,Dubai,22K,643.64,469.09,,26553.83,2363.55,4891.29
2019-06,New York,22K,1237.51,1106.24,971.21,87182.49,4545.52,8561.32
1994-04,Mumbai,22K,351.84,292.5,229.71,11038.17,1278.99,3028.19
1990-11,London,18K,282.1,208.1,158.83,4925.9,1035.39,1343.79
1983-05,Mumbai,24K,422.35,438.53,278.39,4257.22,1552.64,923.78
1998-08,Mumbai,18K,225.52,202.66,136.08,9303.84,828.32,1867.06
2015-04,London,18K,874.69,788.15,572.27,56057.91,,5493.25
2018-01,Dubai,18K,943.06,798.25,705.99,64426.47,3463.95,6229.96
2000-08,Dubai,18K,214.23,232.37,141.49,9619.27,786.85,1773.48
1997-12,New York,18K,246.13,,150.35,8919.68,903.94,2040.42
2017-08,Dubai,24K,1250.81,1108.44,971.14,81450.72,4594.15,8451.9
2019-10,Mumbai,24K,1402.59,1253.8,1100.76,98811.75,5151.85,9703.31
1989-07,Kolkata,24K,378.19,323.24,231.14,6106.26,1390.14,1424.4
1994-08,Dubai,22K,346.94,288.42,226.51,10884.33,1261.16,2985.98
2013-10,Dubai,22K,1312.99,989.72,840.9,76513.3,4822.6,8079.34
2013-12,Delhi,22K,1297.09,977.73,830.71,75586.93,4764.21,7981.52
2007-08,New York,24K,695.9,507.18,347.26,28709.85,2555.45,5288.43
1984-09,Dubai,22K,329.66,389.17,246.54,3716.77,1210.46,846.72
2009-02,New York,18K,723.38,518.54,462.13,34966.59,2656.9,4941.38
1987-03,Chennai,18K,323.96,265.76,197.83,,1191.75,1204.87
2007-06,London,24K,702.9,512.29,350.75,28998.98,2581.19,5341.69
1997-11,New York,18K,250.9,221.5,153.27,9092.54,921.46,
2021-07,Kolkata,24K,1801.91,1523.41,1309.93,133211.64,6618.66,11621.83
1981-02,Kolkata,24K,456.96,359.1,225.88,3946.79,1682.56,922.01
2007-11,Mumbai,24K,702.12,511.72,350.36,28966.7,2578.32,5335.75
1999-10,London,24K,279.5,262.28,172.67,12034.34,1026.61,2313.83
2021-02,London,22K,1596.59,1349.82,1160.67,118032.58,5864.49,10297.56
1994-05,New York,18K,290.1,241.17,189.4,9101.24,1054.56,2496.81
1987-12,Chennai,22K,423.62,347.52,258.69,5470.04,1558.37,1575.53
2006-03,Kolkata,18K,448.98,357.38,243.68,20344.68,1649.08,3579.32
1999-03,Kolkata,22K,257.26,241.41,158.93,11076.6,944.91,2129.68
2010-04,New York,24K,1252.93,946.65,810.79,57276.5,4601.86,
1989-03,London,22K,,297.22,212.53,5614.68,1278.23,
2011-11,Kolkata,22K,1469.04,1056.24,916.8,68687.32,5395.7,9486.6
1979-12,London,18K,230.15,139.79,108.09,1874.77,879.21,699.96
2009-06,London,24K,969.13,694.71,619.13,46845.75,3559.52,6620.11
2018-01,Mumbai,24K,1266.27,1071.82,947.94,86506.64,4651.12,8365.08
2020-10,Mumbai,18K,1336.76,1170.16,1041.69,99109.28,4910.11,9220.1
2017-05,New York,24K,1292.75,1145.6,1003.7,84181.62,4748.19,8735.28
1994-08,Dubai,24K,386.62,321.41,252.42,12129.37,1405.43,3327.54
2001-09,Kolkata,22K,247.25,276.28,171.74,11666.02,908.13,2046.48
2007-03,Kolkata,18K,523.82,381.77,261.39,21610.6,1923.55,3980.73
1987-02,London,18K,327.63,268.78,200.08,4230.66,1205.28,1218.55
2019-01,Kolkata,18K,1051.38,939.85,825.13,74069.11,3861.82,7273.59
2008-04,Kolkata,18K,656.23,446.43,354.91,28423.36,2410.23,4563.89
2002-04,Mumbai,22K,290.1,307.24,193.1,14091.16,1065.54,2401.16
2011-04,Mumbai,22K,1458.21,1048.46,910.04,68181.31,5355.95,9416.71
1988-05,Mumbai,22K,402.16,324.15,226.12,5559.62,1476.55,1496.94
1996-05,Dubai,24K,394.78,306.24,253.33,13965.68,1449.93,3282.33
1981-11,Mumbai,22K,423.26,332.62,209.22,3655.71,1558.48,854.01
1991-12,London,18K,270.02,207.52,153.18,,991.03,1436.62
1984-10,Dubai,24K,350.82,414.15,262.37,3955.29,1288.14,901.06
2016-12,Delhi,24K,1253.52,1131.91,929.36,84204.11,4604.16,8324.09
2009-06,London,24K,972.57,697.18,621.33,47012.37,3572.18,6643.66
2018-01,Delhi,24K,1254.51,1061.87,939.14,85703.41,4607.93,8287.41
1982-10,Kolkata,22K,346.11,318.72,198.77,3277.27,1271.51,854.58
2012-08,London,22K,1520.51,1183.18,959.31,81154.11,5584.83,9592.81
1991-08,Chennai,18K,271.31,208.51,153.91,6160.65,995.79,1443.52
2014-01,Mumbai,18K,967.22,727.72,586.68,58996.66,3552.6,5958.95
1983-03,Kolkata,24K,422.11,438.29,278.23,4254.85,1551.78,923.27
1995-12,Chennai,18K,293.54,223.14,185.99,9507.68,1078.13,2451.15
1982-05,Kolkata,24K,,348.34,217.24,3581.81,1389.66,933.99
2007-07,Delhi,22K,630.43,459.47,314.59,26008.84,2315.04,4790.9
2019-04,Chennai,22K,1260.25,1126.56,989.06,88784.16,4629.03,8718.6
1978-09,Dubai,24K,189.36,122.1,98.53,2429.55,1139.38,907.1
1988-08,Kolkata,22K,398.62,321.3,224.13,5510.71,1463.56,1483.77
2008-04,Chennai,18K,655.79,446.13,354.68,28404.6,2408.64,4560.88
1981-12,Mumbai,24K,460.51,361.89,227.64,3977.42,1695.63,929.16
2014-10,Delhi,18K,954.25,717.97,578.81,58205.82,3504.98,5879.07
1987-04,Mumbai,24K,455.75,373.89,278.31,5885.03,1676.6,1695.06
2013-07,Kolkata,18K,1087.6,819.82,696.54,63378.72,3994.73,6692.41
2012-03,London,18K,1226.93,954.74,774.09,65485.05,,7740.65
1991-04,Kolkata,24K,355.1,272.91,201.45,8063.28,1303.32,1889.33
1999-04,Mumbai,18K,209.67,196.76,129.53,9027.67,770.12,1735.74
1981-02,New York,22K,407.1,319.91,201.23,3516.11,1498.96,821.4
2003-08,New York,24K,369.34,326.56,225.9,17185.24,1356.59,3057.09
1985-02,Chennai,18K,240.32,298.48,186.53,2944.27,880.24,701.83
1988-12,London,24K,439.7,354.41,247.22,6078.62,1614.39,1636.68
1999-01,Kolkata,22K,254.34,238.67,157.13,10950.72,934.17,2105.48
1981-08,London,22K,430.82,338.55,212.96,3720.99,1586.3,869.26
2015-01,Mumbai,18K,839.91,756.82,549.52,53829.1,3084.98,5274.85
2005-03,London,18K,329.63,265.77,181.6,14535.91,1210.68,2699.27
2000-07,New York,18K,210.48,228.3,139.02,9450.81,773.07,1742.42
2000-09,Chennai,18K,214.38,232.53,141.59,9625.88,787.39,1774.7
1983-03,Dubai,24K,430.64,447.14,283.85,4340.74,1583.1,941.9
2005-08,Mumbai,24K,454.02,366.05,250.12,20020.97,1667.53,3717.83
2003-12,New York,22K,341.01,301.51,208.57,15866.98,1252.52,2822.59
1989-06,Mumbai,18K,287.23,245.5,175.55,4637.62,1055.79,1081.81
1981-11,Mumbai,18K,345.98,271.89,171.03,2988.28,1273.94,698.09
2015-05,Chennai,24K,1177.96,1061.43,770.69,75494.56,4326.64,7397.9
2016-02,Chennai,24K,1253.46,1131.86,929.32,84200.29,4603.95,8323.71
2003-07,New York,22K,336.77,297.76,205.98,15669.69,1236.95,2787.49
2021-09,Dubai,22K,1657.84,1401.61,1205.2,122560.9,6089.48,10692.63
1978-02,New York,24K,197.42,127.3,102.73,2533.0,1187.9,945.72
2006-11,Mumbai,22K,562.48,447.73,305.28,25487.77,2065.97,4484.17
1981-02,London,24K,459.02,360.72,226.9,3964.58,1690.15,926.16
1982-03,Dubai,22K,349.54,321.88,200.74,3309.73,1284.1,863.05
2013-07,Mumbai,18K,1079.17,813.46,691.14,62887.4,3963.77,6640.53
2002-06,Delhi,18K,229.13,242.66,152.52,11129.39,841.58,1896.47
1992-06,Kolkata,18K,256.7,189.1,145.94,7192.27,942.55,1419.82
1998-08,New York,22K,267.72,240.58,161.55,11044.52,983.29,2216.37
2017-09,New York,24K,1297.25,1149.59,1007.19,84474.79,4764.72,8765.7
1984-05,Delhi,24K,366.69,432.89,274.24,4134.26,1346.43,941.83
1980-10,Delhi,24K,621.35,382.41,266.74,4885.58,2303.75,936.97
2011-09,Delhi,24K,1566.5,1126.31,977.62,73244.25,5753.67,10115.97
2011-07,New York,22K,1477.24,,921.92,69071.06,5425.84,9539.6
1980-01,Kolkata,24K,607.38,373.81,260.75,4775.77,2251.97,915.91
2014-10,Dubai,22K,1150.82,865.86,698.04,70195.57,,7090.1
2015-02,Delhi,24K,1155.48,1041.17,,74053.78,4244.06,7256.71
1998-05,Delhi,22K,257.58,231.47,155.43,10626.48,946.08,2132.48
1994-05,London,24K,376.26,312.8,245.65,11804.44,1367.78,3238.4
1999-05,Mumbai,22K,254.0,238.36,156.92,10936.46,932.95,2102.74
2017-01,Mumbai,24K,1251.98,1109.48,972.05,81527.17,4598.47,8459.84
2002-12,Kolkata,24K,314.65,333.24,209.45,15283.62,1155.71,2604.36
1991-11,Chennai,18K,270.68,208.03,153.55,6146.27,993.46,1440.15
1997-11,Chennai,18K,251.44,221.99,153.6,9112.31,923.46,2084.48
1993-10,Mumbai,24K,358.07,299.86,238.55,11149.02,1315.61,2067.08
1988-01,Delhi,22K,404.1,325.72,227.21,5586.49,1483.69,1504.17
1985-08,New York,18K,234.84,291.68,182.28,2877.19,,685.84
1996-12,Dubai,22K,355.27,275.59,227.98,12568.1,1304.83,2953.86
2002-01,Kolkata,22K,284.76,301.58,189.55,13831.77,1045.93,2356.97
1987-03,London,22K,404.08,331.49,246.76,5217.74,1486.49,1502.86
1983-01,Dubai,24K,425.34,441.64,280.36,4287.38,1563.64,930.32
1982-07,Mumbai,22K,349.12,321.49,200.5,3305.76,1282.56,862.01
1990-01,London,18K,286.04,211.01,161.05,4994.71,1049.85,1362.56
1988-03,London,22K,399.96,322.38,224.88,5529.21,1468.47,1488.75
2000-01,Delhi,18K,209.45,227.19,138.34,9404.56,769.29,1733.89
2003-02,Chennai,18K,267.85,236.82,163.82,12462.66,983.79,2216.99
2012-06,Chennai,18K,1253.27,975.23,790.7,66890.88,4603.27,7906.83
2003-01,Delhi,24K,366.7,324.22,224.28,17062.11,1346.87,3035.19
2000-09,Kolkata,24K,272.62,295.71,180.06,12241.01,1001.31,2256.84
2014-10,Mumbai,18K,945.27,711.21,573.36,57657.97,3471.99,5823.74
1983-09,New York,18K,,338.89,215.13,3289.87,1199.84,713.87
2001-10,Delhi,18K,204.04,228.0,141.72,9627.28,749.43,1688.84
1988-10,New York,24K,432.26,348.42,243.04,5975.79,1587.08,1609.0
2002-06,Delhi,18K,229.13,242.66,152.52,11129.39,841.58,1896.47
2009-04,New York,18K,746.71,535.27,477.04,36094.46,2742.6,5100.77
2007-03,Chennai,24K,677.61,493.85,338.13,27955.38,2488.3,5149.46
2002-08,Kolkata,22K,283.32,300.05,188.59,13761.47,1040.61,2344.99
1985-02,Chennai,22K,289.57,359.65,224.76,3547.68,1060.64,845.67
2009-11,Delhi,18K,723.74,518.81,462.37,34984.36,2658.25,4943.89
2019-11,New York,22K,1296.63,1159.08,1017.61,91346.99,4762.65,8970.28
2020-04,Dubai,18K,1297.43,1135.73,1011.04,96193.27,4765.64,8948.82
2016-08,Kolkata,22K,1150.93,1039.28,853.3,77313.16,,7642.88
1985-10,Kolkata,22K,287.17,356.66,222.9,3518.22,1051.83,838.64
1986-04,Chennai,24K,366.95,350.49,250.51,4613.77,1348.62,1269.28
1991-12,Chennai,18K,267.78,205.8,151.91,6080.53,982.84,1424.75
1997-05,Chennai,22K,297.95,263.05,182.01,10797.76,1094.27,2470.04
1996-06,Dubai,22K,355.72,275.95,228.27,12584.14,1306.5,2957.63
1980-11,Mumbai,22K,563.29,346.68,241.82,4429.11,2088.51,849.43
2016-05,Mumbai,24K,1250.51,1129.19,927.13,84002.23,4593.12,8304.13
1992-01,Dubai,22K,312.43,230.15,177.63,8753.79,1147.19,1728.08
2021-09,Kolkata,18K,1377.47,1164.58,1001.38,101834.13,5059.66,8884.35
2006-03,Chennai,22K,567.61,451.81,308.06,25720.15,2084.8,4525.05
2010-04,Delhi,24K,1220.64,922.26,789.9,55800.65,4483.28,8256.93
2011-09,New York,18K,1182.31,850.08,737.86,55281.0,4342.57,7635.01
2016-05,Mumbai,24K,1264.23,1141.58,937.3,84923.86,4643.52,8395.24
1989-01,Mumbai,22K,347.8,297.27,212.57,5615.62,1278.44,1309.95
2019-11,London,22K,1291.49,1154.49,1013.57,90985.03,4743.78,8934.73
2006-04,Kolkata,22K,546.89,435.32,296.81,24781.1,2008.69,4359.84
1992-07,London,18K,263.85,194.36,150.0,7392.53,,1459.35
1988-03,New York,24K,427.87,344.88,240.57,,1570.97,1592.66
2016-02,Kolkata,22K,1156.71,1044.49,857.59,77701.29,4248.6,7681.25
2012-12,Delhi,24K,1662.71,1293.84,1049.03,88744.03,6107.15,10489.97
1996-07,New York,22K,356.16,276.28,228.55,12599.45,,2961.23
1995-08,Chennai,24K,383.82,291.76,243.2,12431.78,1409.71,3205.0
2001-06,Mumbai,18K,204.19,228.16,141.82,9634.06,749.96,1690.03
1999-06,Dubai,24K,,265.25,174.63,12170.49,1038.23,2340.01
1988-05,Kolkata,18K,329.8,265.83,185.43,4559.33,1210.89,1227.61
1978-03,Dubai,18K,147.2,94.92,76.59,1888.6,885.69,705.13
1996-09,Dubai,18K,286.03,221.88,183.55,10118.66,1050.53,
2000-10,Delhi,22K,256.46,278.18,169.39,11515.56,941.96,2123.09
2017-05,New York,24K,1264.72,1120.77,981.94,82356.8,4645.26,8545.93
1986-05,Mumbai,22K,344.68,329.22,235.31,4333.76,1266.78,1192.25
1994-08,Kolkata,24K,385.76,320.7,251.86,12102.49,1402.31,3320.17
2011-04,Mumbai,22K,1458.21,1048.46,910.04,68181.31,5355.95,9416.71
1986-09,Chennai,18K,,265.57,189.82,3495.96,1021.88,961.76
1985-08,Mumbai,18K,232.54,288.81,180.49,2848.94,851.73,679.11
2009-02,Dubai,24K,961.91,689.53,614.52,46496.79,3533.01,6570.79
2003-05,Dubai,22K,323.02,285.6,197.56,15029.78,1186.44,2673.66
2002-08,Dubai,24K,308.09,326.28,,14964.56,1131.59,2549.99
2017-02,Chennai,22K,1166.2,1033.47,905.45,75941.4,4283.41,7880.22
1994-12,Kolkata,24K,383.86,319.12,250.62,12042.85,1395.4,3303.81
2004-09,Dubai,18K,322.97,259.82,176.32,14621.45,1186.25,2673.12
2003-04,Delhi,18K,268.61,237.49,164.29,12498.22,986.6,2223.32
2017-08,Delhi,18K,957.82,848.8,743.66,62371.57,3518.01,6472.12
2002-01,Mumbai,24K,308.27,326.48,205.2,14973.6,1132.27,2551.54
2003-04,Delhi,24K,374.16,330.82,228.85,17409.47,1374.29,3096.98
1988-11,Delhi,18K,326.66,263.3,183.67,4515.91,1199.36,1215.92
2014-03,Kolkata,22K,1143.27,860.19,693.46,69735.33,4199.25,7043.61
1996-03,Chennai,22K,357.54,277.35,229.43,12648.27,1313.16,2972.71
2012-02,Delhi,22K,1532.85,1192.79,967.1,81813.01,5630.17,9670.69
1989-01,London,22K,353.16,301.85,215.84,5702.09,1298.13,1330.12
1985-05,Kolkata,18K,238.63,296.38,185.22,2923.54,874.04,696.89
1998-07,Mumbai,18K,,198.85,133.52,9128.68,812.73,1831.91
1987-11,Mumbai,18K,333.09,273.25,203.41,4301.06,1225.34,1238.83
2019-07,Mumbai,22K,1248.73,1116.27,980.02,87972.93,4586.74,8638.94
1991-04,Delhi,24K,363.8,279.59,206.38,8260.7,1335.23,1935.59
1985-02,Chennai,18K,240.32,298.48,186.53,2944.27,880.24,701.83
2020-03,Dubai,18K,1284.79,1124.66,,95256.12,4719.21,8861.64
2010-07,New York,22K,1141.51,862.47,738.69,52183.14,4192.63,7721.64
1998-03,Delhi,18K,219.79,197.51,132.62,9067.2,807.25,1819.57
1978-07,Chennai,22K,177.11,114.21,92.16,2272.45,1065.71,848.44
1998-03,Kolkata,22K,268.65,241.42,162.11,11083.17,986.73,2224.13
2019-04,New York,18K,,924.56,811.71,72864.61,3799.02,7155.31
2013-06,Delhi,22K,1280.86,965.5,820.32,,4704.6,7881.64
1983-11,Chennai,18K,321.3,333.61,211.78,3238.69,1181.17,702.77
1991-05,New York,24K,362.99,278.97,205.92,8242.26,1332.25,1931.27
1997-08,Delhi,18K,246.62,217.73,150.66,8937.73,905.77,
1981-03,Delhi,24K,467.62,367.47,231.15,4038.84,1721.81,943.51
2004-05,Kolkata,22K,378.69,304.64,206.74,17144.21,1390.92,3134.34
