price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
7969000,13316,4,4,3,yes,no,yes,no,yes,1,no,unfurnished
7945000,14338,2,3,4,yes,no,no,no,yes,0,no,unfurnished
7935000,15711,5,2,2,no,no,no,no,yes,0,no,furnished
7925000,14571,3,1,2,yes,yes,no,no,yes,3,yes,furnished
7923000,15893,3,1,1,yes,no,yes,no,yes,1,no,furnished
7922000,15150,6,1,2,yes,no,no,no,yes,2,no,semi-furnished
7915000,14425,2,2,4,yes,yes,no,no,no,0,no,semi-furnished
7902000,15822,3,1,1,yes,no,no,no,yes,1,no,furnished
7875000,14814,3,2,2,yes,yes,no,no,no,0,no,furnished
7869000,15078,3,2,3,yes,no,no,no,no,2,no,semi-furnished
7843000,15121,2,2,2,yes,yes,yes,no,no,1,no,semi-furnished
7842000,11923,4,3,3,yes,no,no,no,yes,0,yes,furnished
7836000,15636,4,3,1,yes,no,no,yes,no,2,no,furnished
7832000,15706,2,1,1,yes,no,yes,no,yes,1,yes,unfurnished
7830000,13303,4,4,1,yes,yes,no,no,no,1,no,semi-furnished
7825000,15740,4,2,4,yes,no,no,no,no,0,no,semi-furnished
7823000,14501,4,1,1,yes,no,yes,no,yes,0,yes,unfurnished
7818000,15857,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
7811000,15581,4,1,3,yes,no,no,no,no,0,yes,furnished
7810000,15104,4,2,1,yes,no,no,no,yes,3,no,semi-furnished
7805000,12691,4,2,2,yes,yes,no,no,yes,2,yes,semi-furnished
7796000,16084,2,2,2,yes,no,no,no,no,1,no,furnished
7780000,14641,4,4,4,no,yes,yes,no,no,2,no,unfurnished
7762000,12056,3,2,1,yes,yes,no,no,yes,1,yes,furnished
7749000,14033,3,2,2,no,no,no,no,yes,1,no,furnished
7735000,13565,4,3,3,yes,no,no,no,yes,0,no,unfurnished
7733000,15067,3,1,3,yes,no,yes,no,yes,0,no,semi-furnished
7727000,13093,1,3,3,yes,no,yes,no,yes,0,no,furnished
7722000,15912,3,1,3,yes,no,yes,no,no,2,no,unfurnished
7719000,14327,5,1,2,yes,no,no,no,no,1,no,furnished
7713000,12598,5,3,3,yes,no,yes,no,yes,0,no,unfurnished
7706000,15725,3,1,2,yes,no,no,no,no,1,yes,furnished
7702000,12388,1,1,2,yes,no,no,no,yes,1,yes,furnished
7683000,13978,3,2,2,yes,no,yes,no,no,0,no,semi-furnished
7683000,15096,2,2,2,yes,no,no,no,no,0,yes,unfurnished
7673000,14818,4,3,3,yes,yes,no,no,no,1,no,unfurnished
7667000,14973,2,4,2,yes,no,no,no,yes,1,no,semi-furnished
7666000,15614,3,2,1,yes,yes,no,no,yes,0,no,furnished
7640000,14775,4,2,1,yes,no,yes,yes,no,2,no,furnished
7639000,13190,4,2,1,yes,no,yes,yes,yes,1,yes,semi-furnished
7638000,14434,2,1,3,no,no,no,no,yes,2,no,furnished
7638000,16136,3,2,1,yes,no,no,no,yes,3,no,semi-furnished
7627000,12571,3,1,4,yes,no,yes,no,yes,2,no,furnished
7613000,14685,2,2,3,yes,yes,no,no,no,0,no,furnished
7605000,13136,3,1,2,yes,yes,yes,no,yes,3,yes,furnished
7597000,13974,3,3,3,yes,no,no,no,yes,2,yes,semi-furnished
7597000,15573,2,1,1,yes,yes,no,no,no,2,no,furnished
7593000,12761,6,2,3,yes,no,no,no,yes,2,no,semi-furnished
7591000,14946,2,1,1,yes,no,yes,no,no,1,no,furnished
7591000,15234,4,1,3,yes,no,no,yes,no,0,no,furnished
7581000,13126,6,1,3,yes,yes,yes,no,no,0,yes,unfurnished
7577000,12835,4,3,3,yes,no,yes,no,yes,1,no,unfurnished
7575000,16139,4,1,1,yes,no,no,no,no,1,no,furnished
7570000,13899,3,1,3,yes,yes,yes,yes,no,0,yes,unfurnished
7565000,15346,4,2,2,yes,yes,no,no,no,0,no,unfurnished
7562000,14565,3,2,2,no,no,no,no,no,1,no,furnished
7557000,16073,4,2,1,yes,yes,no,no,yes,1,no,furnished
7556000,14753,3,3,2,yes,yes,no,no,no,0,no,unfurnished
7555000,13909,5,1,3,yes,no,yes,yes,yes,0,no,semi-furnished
7551000,15689,3,2,1,yes,no,no,no,no,1,yes,furnished
7533000,13585,3,3,2,yes,no,yes,no,yes,0,yes,semi-furnished
7531000,14118,3,3,3,yes,no,no,no,no,0,no,unfurnished
7530000,14969,4,2,2,yes,yes,no,no,no,1,no,semi-furnished
7529000,13487,5,1,1,yes,yes,yes,no,yes,1,no,furnished
7522000,12982,4,1,4,yes,yes,yes,no,yes,0,no,semi-furnished
7513000,12911,4,2,1,yes,no,no,yes,yes,0,no,furnished
7507000,16162,3,1,2,yes,no,no,no,yes,1,no,unfurnished
7505000,13614,5,1,2,yes,no,no,no,no,0,no,furnished
7497000,12350,6,3,2,yes,no,yes,no,no,0,yes,semi-furnished
7452000,15178,4,2,3,yes,no,no,no,no,0,yes,unfurnished
7434000,15572,3,2,1,yes,no,no,yes,yes,3,no,semi-furnished
7403000,15637,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
7403000,13025,6,1,3,no,no,no,no,no,1,no,furnished
7402000,14895,3,1,2,yes,yes,no,no,no,0,yes,unfurnished
7399000,9825,4,4,2,yes,no,yes,no,yes,2,no,semi-furnished
7382000,13693,4,1,2,yes,no,yes,yes,no,2,no,furnished
7381000,11903,3,2,3,yes,no,no,no,no,0,yes,semi-furnished
7377000,12398,6,1,4,yes,no,yes,no,no,2,no,furnished
7375000,16191,4,2,4,yes,no,no,no,no,2,no,semi-furnished
7374000,15165,4,2,1,yes,no,yes,no,no,3,no,unfurnished
7369000,15453,4,1,1,yes,yes,no,no,no,0,no,semi-furnished
7368000,15067,4,1,3,yes,no,no,yes,no,2,no,unfurnished
7367000,12532,2,1,3,yes,yes,yes,no,yes,1,yes,semi-furnished
7360000,14766,3,1,3,yes,no,no,no,no,2,no,semi-furnished
7343000,14488,2,2,1,yes,no,no,no,yes,0,no,furnished
7338000,15354,2,1,3,no,no,no,no,no,0,no,unfurnished
7336000,14455,3,1,3,yes,no,no,no,yes,0,no,furnished
7329000,13932,3,2,2,no,no,yes,no,no,1,no,semi-furnished
7323000,14140,2,4,3,yes,yes,yes,no,no,0,no,unfurnished
7315000,13856,5,1,2,yes,no,yes,no,no,3,no,semi-furnished
7308000,16080,5,1,1,yes,no,no,no,no,0,no,semi-furnished
7302000,13286,5,1,2,yes,yes,no,no,no,3,no,furnished
7301000,13114,4,3,2,yes,yes,no,no,yes,0,no,furnished
7301000,15106,5,2,1,yes,no,yes,no,yes,0,no,semi-furnished
7293000,12841,4,2,2,yes,yes,no,no,yes,0,no,furnished
7287000,14393,3,1,3,yes,no,yes,no,no,1,no,semi-furnished
7275000,11907,3,3,1,yes,no,yes,no,yes,2,no,furnished
7267000,15493,2,1,1,no,no,yes,no,yes,0,no,furnished
7256000,13166,3,3,2,yes,no,yes,yes,yes,1,no,unfurnished
7251000,15129,4,2,2,yes,no,no,no,no,2,no,furnished
7243000,14407,4,2,3,yes,no,yes,no,no,2,no,furnished
7233000,13765,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
7230000,13424,6,1,1,yes,no,yes,no,yes,0,no,semi-furnished
7201000,13388,6,1,1,yes,yes,yes,no,no,2,no,semi-furnished
7197000,12994,5,1,3,yes,no,no,no,no,1,no,semi-furnished
7193000,15110,3,1,1,yes,yes,no,no,no,0,no,furnished
7186000,14311,3,1,4,yes,no,yes,no,no,0,yes,unfurnished
7185000,13444,3,1,3,no,yes,no,no,no,2,yes,furnished
7177000,12775,1,4,4,yes,yes,yes,no,no,0,no,furnished
7153000,13578,4,2,2,yes,yes,no,no,yes,2,no,semi-furnished
7153000,9642,6,2,1,yes,yes,yes,no,no,3,no,furnished
7118000,12901,4,2,3,no,no,no,no,no,1,no,furnished
7116000,13033,3,2,1,yes,no,yes,no,yes,1,no,semi-furnished
7112000,11912,3,2,2,yes,yes,yes,no,no,1,no,semi-furnished
7111000,15620,2,3,1,yes,no,no,no,no,2,no,furnished
7108000,14390,1,1,2,yes,no,no,yes,no,0,no,semi-furnished
7108000,14596,3,2,1,yes,no,no,no,no,0,no,furnished
7107000,14586,3,1,2,yes,yes,no,no,no,2,no,semi-furnished
7093000,11994,3,1,3,yes,no,yes,no,no,1,yes,semi-furnished
7085000,12650,5,1,2,yes,no,yes,no,yes,0,yes,semi-furnished
7080000,10646,3,1,1,yes,no,no,yes,yes,0,yes,furnished
7078000,15748,6,1,1,yes,no,yes,no,no,1,no,unfurnished
7074000,13485,4,2,1,yes,no,no,no,no,1,yes,furnished
7067000,14440,2,1,3,yes,yes,no,no,no,0,no,furnished
7064000,14622,4,1,2,yes,no,no,no,no,0,no,semi-furnished
7061000,11823,3,1,4,yes,no,yes,no,yes,1,no,semi-furnished
7039000,11599,3,2,4,no,no,yes,no,yes,0,yes,furnished
7021000,14206,4,1,1,yes,no,yes,no,yes,2,no,unfurnished
7018000,12277,3,2,3,yes,no,yes,no,no,1,no,semi-furnished
7017000,13097,1,1,3,yes,no,yes,no,yes,0,yes,furnished
7014000,11669,3,1,2,yes,yes,no,no,yes,1,yes,furnished
7011000,10737,2,1,2,yes,no,yes,no,yes,1,yes,semi-furnished
6998000,14717,3,2,3,yes,yes,no,no,no,0,no,unfurnished
6995000,14027,2,1,3,yes,no,yes,no,no,2,no,furnished
6990000,12205,2,1,2,yes,no,no,no,no,1,yes,furnished
6989000,12142,5,1,1,yes,no,no,no,yes,0,yes,semi-furnished
6989000,13835,3,1,2,yes,no,yes,no,no,0,no,unfurnished
6987000,15422,3,1,2,yes,yes,yes,no,no,0,no,furnished
6986000,12168,4,1,3,yes,no,no,no,yes,0,no,semi-furnished
6964000,13103,2,1,2,no,no,yes,no,yes,0,yes,unfurnished
6960000,11369,3,2,4,yes,no,no,no,no,0,yes,semi-furnished
6957000,15423,1,1,1,yes,no,no,no,yes,1,yes,unfurnished
6952000,13871,3,1,2,yes,no,yes,no,no,2,no,semi-furnished
6949000,15015,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
6940000,13239,2,1,2,yes,no,no,no,no,1,yes,unfurnished
6939000,14524,1,1,3,yes,yes,no,yes,no,0,yes,semi-furnished
6936000,13184,3,2,2,yes,no,no,no,yes,3,no,semi-furnished
6928000,15250,2,1,1,yes,no,yes,no,no,0,no,semi-furnished
6926000,12730,1,1,2,yes,no,no,no,yes,2,yes,semi-furnished
6916000,14335,4,2,2,yes,no,yes,no,no,0,no,unfurnished
6915000,11524,3,1,3,yes,no,yes,no,no,1,no,semi-furnished
6908000,15458,2,2,1,yes,no,no,no,no,1,no,furnished
6898000,13354,2,1,4,yes,yes,no,no,no,0,no,unfurnished
6894000,12658,4,2,2,yes,no,yes,no,no,1,no,semi-furnished
6885000,11698,1,1,3,yes,no,yes,no,no,2,no,semi-furnished
6873000,15057,2,1,2,yes,yes,no,yes,yes,1,no,semi-furnished
6873000,15053,2,1,2,yes,yes,no,no,yes,2,no,unfurnished
6867000,12798,2,1,2,yes,yes,yes,no,yes,2,no,unfurnished
6861000,16006,3,1,1,no,no,yes,no,no,2,no,unfurnished
6859000,12517,3,1,3,yes,yes,yes,yes,yes,0,yes,furnished
6851000,14834,2,1,3,yes,no,yes,no,no,0,yes,unfurnished
6848000,15176,3,1,2,no,no,no,yes,yes,0,no,furnished
6847000,13726,4,2,4,yes,no,no,no,no,0,no,semi-furnished
6845000,12379,2,1,4,yes,no,no,no,yes,2,no,semi-furnished
6836000,12286,4,1,3,yes,yes,no,no,no,1,no,furnished
6836000,14316,4,1,3,no,no,no,no,no,1,no,furnished
6832000,12502,4,1,2,yes,yes,yes,no,no,1,no,semi-furnished
6825000,12946,4,2,4,yes,yes,no,no,no,1,no,unfurnished
6823000,13588,3,2,3,yes,no,yes,no,yes,2,no,semi-furnished
6815000,15841,3,1,1,yes,no,no,no,yes,0,no,furnished
6805000,13144,2,3,2,no,no,yes,no,no,1,no,furnished
6802000,10334,3,1,2,no,no,yes,yes,yes,0,yes,unfurnished
6788000,12653,2,1,2,yes,no,yes,no,no,2,yes,furnished
6788000,14425,3,2,2,no,no,no,no,no,1,yes,unfurnished
6784000,13833,4,2,1,yes,yes,yes,no,yes,0,no,furnished
6783000,14989,2,1,1,yes,no,no,no,no,1,no,unfurnished
6780000,10857,2,3,1,yes,no,yes,no,no,3,yes,furnished
6778000,13887,2,1,2,yes,no,yes,no,yes,1,no,unfurnished
6778000,10712,3,1,3,yes,no,no,no,yes,0,yes,semi-furnished
6770000,15642,2,1,2,no,no,no,no,no,0,no,semi-furnished
6761000,11898,2,2,1,yes,no,no,no,yes,3,yes,furnished
6759000,12909,2,2,2,yes,no,no,no,yes,1,no,semi-furnished
6758000,10517,5,1,2,yes,no,yes,no,yes,1,no,semi-furnished
6757000,13064,4,2,3,no,no,no,no,no,2,yes,unfurnished
6751000,12962,5,1,2,yes,yes,no,no,yes,1,no,unfurnished
6744000,10987,6,1,4,yes,yes,no,no,yes,0,no,unfurnished
6737000,13794,4,1,2,yes,yes,no,yes,no,2,yes,unfurnished
6733000,12621,4,4,2,no,no,yes,no,no,1,no,semi-furnished
6729000,14640,4,2,2,yes,no,no,no,no,2,no,unfurnished
6726000,13811,5,1,1,yes,yes,no,no,no,1,no,semi-furnished
6687000,12978,3,2,2,yes,no,no,no,no,2,no,unfurnished
6687000,9876,2,4,2,yes,yes,no,no,yes,1,no,furnished
6680000,12824,1,3,3,yes,no,yes,no,yes,1,no,unfurnished
6678000,10858,3,2,2,yes,yes,yes,no,yes,0,no,semi-furnished
6650000,9958,4,2,3,yes,no,no,no,yes,1,no,furnished
6629000,13479,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
6620000,14910,3,1,2,yes,yes,no,no,no,1,no,unfurnished
6616000,7669,5,2,4,yes,yes,yes,no,yes,3,no,unfurnished
6613000,12619,3,1,3,yes,no,no,no,no,2,no,unfurnished
6612000,12988,2,1,3,yes,no,yes,no,yes,0,no,semi-furnished
6608000,13017,4,1,3,yes,no,no,no,no,0,no,furnished
6608000,12673,2,1,2,yes,no,no,no,yes,1,no,furnished
6603000,14413,4,2,1,yes,no,no,no,no,0,no,semi-furnished
6601000,13689,2,2,2,yes,no,no,no,no,3,no,furnished
6595000,12780,2,1,2,yes,no,yes,no,yes,0,yes,semi-furnished
6591000,10998,3,3,1,yes,no,no,no,yes,0,no,unfurnished
6591000,13013,3,1,1,yes,no,no,no,yes,1,yes,unfurnished
6589000,10341,3,2,2,yes,no,no,yes,no,2,no,furnished
6587000,11124,3,3,2,yes,yes,yes,no,no,0,no,unfurnished
6587000,13619,4,1,1,yes,no,yes,no,no,2,no,unfurnished
6586000,11522,3,2,2,yes,yes,no,no,yes,1,no,furnished
6576000,10042,2,4,1,yes,no,no,no,yes,2,no,furnished
6566000,15090,4,1,1,yes,no,yes,no,no,0,no,unfurnished
6552000,10813,3,2,4,yes,yes,yes,no,yes,0,no,semi-furnished
6551000,11797,4,1,1,yes,yes,no,yes,yes,0,no,unfurnished
6539000,12297,3,1,2,yes,no,yes,no,yes,1,no,unfurnished
6539000,14934,2,1,1,yes,no,no,no,no,0,no,furnished
6537000,12960,4,2,2,yes,yes,no,no,no,0,no,semi-furnished
6535000,14027,4,2,1,yes,no,no,no,no,1,no,unfurnished
6532000,13561,3,1,2,yes,no,no,no,no,1,no,unfurnished
6527000,9566,3,1,2,yes,no,no,no,yes,2,no,semi-furnished
6523000,13939,2,2,1,yes,no,no,no,no,1,no,semi-furnished
6517000,13044,3,1,1,no,no,no,no,yes,1,yes,unfurnished
6515000,12902,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
6510000,10437,2,4,1,no,yes,no,no,yes,1,yes,furnished
6504000,12455,1,1,1,yes,yes,yes,no,no,3,no,unfurnished
6502000,12738,5,1,3,no,no,yes,no,no,1,no,furnished
6499000,13307,2,2,1,yes,yes,no,no,no,2,no,semi-furnished
6496000,13299,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
6494000,8672,3,4,2,yes,no,yes,no,no,0,yes,furnished
6489000,8676,5,2,4,yes,yes,no,no,no,1,no,unfurnished
6483000,12615,3,1,2,yes,no,yes,no,no,2,no,semi-furnished
6482000,13282,3,1,1,yes,yes,no,no,yes,1,no,unfurnished
6476000,13572,3,1,1,no,yes,no,no,yes,0,no,semi-furnished
6475000,9510,3,2,4,yes,yes,no,no,no,1,yes,furnished
6474000,15599,2,2,2,no,no,yes,no,no,0,no,unfurnished
6461000,13957,3,1,3,yes,yes,no,no,no,0,no,semi-furnished
6458000,8451,4,4,2,yes,no,no,no,no,3,yes,semi-furnished
6444000,9541,4,1,2,yes,yes,no,no,yes,2,yes,furnished
6444000,9972,3,3,2,yes,yes,no,no,yes,0,no,unfurnished
6432000,9455,2,4,2,yes,no,yes,no,no,1,yes,unfurnished
6424000,14127,3,2,2,yes,no,no,no,no,0,no,unfurnished
6411000,11510,4,1,2,yes,no,no,no,yes,0,yes,unfurnished
6410000,10366,3,1,1,yes,yes,no,yes,no,1,no,semi-furnished
6405000,11205,4,1,1,yes,no,yes,no,no,2,yes,semi-furnished
6393000,12543,1,1,1,yes,no,yes,no,no,2,no,furnished
6387000,13959,4,1,1,yes,no,no,no,no,1,no,unfurnished
6382000,11661,6,1,2,yes,no,no,no,no,1,no,semi-furnished
6379000,11142,4,2,2,yes,no,no,no,no,1,no,semi-furnished
6378000,10608,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
6376000,8426,3,4,4,yes,no,yes,no,no,1,no,unfurnished
6369000,10551,4,1,3,yes,no,yes,no,no,0,yes,furnished
6367000,11211,4,1,1,yes,yes,yes,no,yes,0,yes,unfurnished
6366000,12407,3,3,1,yes,no,yes,no,yes,1,no,semi-furnished
6351000,13364,3,1,2,no,no,no,no,yes,1,no,furnished
6342000,10330,3,1,2,yes,no,yes,no,yes,2,no,unfurnished
6338000,12467,2,2,2,no,yes,yes,no,no,3,no,semi-furnished
6333000,8790,2,2,4,yes,yes,no,no,no,2,yes,unfurnished
6332000,13976,2,1,3,no,no,no,no,no,1,no,furnished
6330000,10657,2,3,4,yes,no,yes,no,yes,0,no,unfurnished
6320000,14563,3,2,1,yes,no,no,no,no,0,no,furnished
6308000,8903,2,2,3,yes,yes,no,yes,yes,2,no,unfurnished
6306000,11410,4,1,2,yes,yes,no,no,yes,2,no,unfurnished
6304000,10989,3,2,4,yes,no,yes,no,no,1,yes,unfurnished
6299000,13211,2,1,2,no,yes,yes,yes,no,3,no,semi-furnished
6295000,7847,5,2,3,yes,no,no,no,yes,2,no,furnished
6295000,11529,3,1,4,no,yes,no,no,no,1,no,semi-furnished
6289000,12929,2,1,3,yes,no,yes,no,yes,3,no,unfurnished
6277000,10179,4,2,3,yes,no,no,yes,no,1,no,furnished
6276000,11238,6,1,2,yes,yes,no,no,no,0,no,semi-furnished
6267000,12327,4,4,1,no,no,yes,no,yes,1,no,unfurnished
6266000,12136,4,1,1,yes,yes,no,no,no,1,no,furnished
6263000,10639,3,3,1,yes,no,no,no,yes,2,yes,semi-furnished
6260000,8599,3,1,1,yes,yes,yes,no,yes,3,no,furnished
6260000,11824,1,1,3,yes,no,no,no,yes,0,no,furnished
6257000,11205,3,1,3,yes,no,no,no,no,3,no,semi-furnished
6255000,13198,3,1,3,no,no,no,no,no,0,yes,furnished
6252000,13061,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
6245000,10405,2,1,1,yes,no,yes,yes,yes,0,no,furnished
6237000,11467,3,2,1,yes,no,no,no,yes,0,no,semi-furnished
6236000,9589,3,2,3,yes,no,no,yes,yes,1,no,semi-furnished
6234000,9226,3,1,3,no,yes,no,yes,yes,0,no,furnished
6233000,10177,4,2,1,yes,yes,yes,no,yes,1,yes,unfurnished
6228000,9656,4,1,2,yes,no,yes,no,yes,1,no,unfurnished
6227000,11085,3,3,2,yes,no,no,no,no,1,no,semi-furnished
6221000,12801,2,2,2,yes,no,no,no,no,0,no,furnished
6219000,10736,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
6209000,11190,4,1,3,yes,no,no,no,yes,0,yes,semi-furnished
6207000,11358,2,2,2,no,no,no,no,yes,1,no,furnished
6204000,8560,4,2,2,yes,no,no,no,yes,0,yes,semi-furnished
6193000,9301,5,2,3,yes,no,no,no,no,2,yes,furnished
6171000,5962,6,4,2,yes,yes,yes,no,no,2,yes,semi-furnished
6171000,11838,3,1,1,yes,yes,no,no,no,2,no,semi-furnished
6169000,11524,4,1,2,yes,no,no,no,yes,0,no,unfurnished
6144000,11773,3,1,4,yes,yes,no,no,no,1,yes,semi-furnished
6137000,11564,3,1,3,yes,yes,yes,no,yes,0,no,unfurnished
6136000,13340,1,1,2,yes,no,no,no,no,2,no,furnished
6133000,13076,2,1,2,yes,no,yes,no,yes,0,no,furnished
6125000,12746,1,1,1,yes,no,yes,no,yes,0,no,semi-furnished
6124000,9456,4,2,1,yes,yes,no,no,no,2,yes,furnished
6120000,10923,3,2,1,yes,yes,no,no,no,3,no,semi-furnished
6116000,13988,3,1,2,yes,no,yes,no,no,0,no,unfurnished
6111000,9144,4,2,2,yes,yes,no,no,no,0,no,unfurnished
6107000,10833,4,1,3,yes,no,no,no,no,1,no,semi-furnished
6102000,10488,3,1,3,yes,no,yes,no,yes,1,no,furnished
6091000,11473,4,1,2,yes,yes,no,no,yes,1,no,semi-furnished
6083000,11636,3,2,3,yes,no,no,no,no,1,no,semi-furnished
6082000,11008,3,1,2,yes,no,no,no,no,2,yes,furnished
6077000,13156,3,1,1,no,no,yes,no,no,1,no,furnished
6065000,10465,4,2,3,yes,no,yes,no,no,0,no,unfurnished
6056000,10574,3,2,2,no,no,yes,no,no,3,no,unfurnished
6050000,13143,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
6047000,9042,3,2,3,yes,no,no,no,no,0,yes,furnished
6044000,9646,3,2,2,yes,no,no,no,yes,1,no,furnished
6038000,13517,4,1,2,yes,no,no,no,no,0,no,semi-furnished
6037000,12458,3,3,2,yes,no,no,no,no,0,no,unfurnished
6032000,9225,2,2,2,yes,yes,yes,no,yes,3,yes,semi-furnished
6030000,8267,1,2,2,no,no,yes,no,yes,1,yes,semi-furnished
6023000,8266,4,2,3,yes,no,no,no,yes,0,no,furnished
6021000,8856,3,1,4,yes,no,yes,no,no,1,yes,furnished
6011000,11312,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
6008000,11880,4,1,1,yes,yes,no,yes,no,0,no,unfurnished
6006000,8386,6,4,1,yes,no,no,no,yes,3,no,furnished
5995000,9373,2,2,2,yes,no,yes,no,yes,1,no,furnished
5993000,8752,3,1,3,yes,no,no,no,no,1,yes,semi-furnished
5993000,8250,3,1,1,yes,yes,no,no,no,2,yes,furnished
5991000,9508,4,2,3,yes,no,no,yes,no,1,no,unfurnished
5977000,11342,2,1,1,no,yes,yes,no,yes,1,no,unfurnished
5969000,9780,3,2,3,no,no,no,no,yes,0,no,furnished
5966000,8588,5,1,2,yes,yes,yes,no,no,3,no,semi-furnished
5963000,13973,1,1,2,yes,no,no,no,no,3,no,unfurnished
5958000,12934,2,2,2,yes,no,no,no,no,0,no,semi-furnished
5956000,8359,4,2,1,yes,yes,no,no,yes,1,no,semi-furnished
5954000,9384,4,1,4,no,yes,no,no,no,0,yes,furnished
5952000,11085,2,1,3,yes,yes,yes,no,yes,0,yes,semi-furnished
5952000,8993,4,4,1,yes,no,yes,no,no,1,no,furnished
5946000,13640,3,1,1,no,no,no,no,no,1,no,semi-furnished
5938000,10555,3,1,3,yes,yes,yes,no,no,2,no,furnished
5933000,11226,3,1,2,no,yes,yes,yes,yes,1,no,semi-furnished
5931000,9985,5,2,2,no,no,no,no,no,1,yes,semi-furnished
5929000,12566,3,1,2,yes,yes,no,no,no,1,no,semi-furnished
5918000,6485,5,1,4,yes,no,no,no,yes,3,yes,semi-furnished
5918000,11666,3,1,1,yes,no,yes,no,yes,1,yes,unfurnished
5899000,11412,4,1,1,yes,no,yes,no,yes,2,no,semi-furnished
5899000,6560,4,2,2,yes,yes,yes,yes,yes,1,yes,unfurnished
5891000,11085,5,1,3,yes,no,no,no,no,2,no,semi-furnished
5886000,7834,2,3,3,yes,yes,no,no,no,1,yes,semi-furnished
5880000,9333,2,1,3,yes,no,yes,no,yes,1,no,unfurnished
5879000,11883,2,2,2,yes,no,no,no,yes,0,no,unfurnished
5871000,8315,4,1,4,no,no,yes,no,no,1,no,semi-furnished
5870000,11575,5,1,2,yes,no,no,yes,no,1,no,semi-furnished
5857000,11320,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
5857000,8469,1,2,4,yes,yes,no,no,yes,2,yes,unfurnished
5850000,8920,3,1,2,yes,no,yes,no,no,2,no,semi-furnished
5848000,9205,2,2,4,yes,yes,no,no,no,1,no,semi-furnished
5847000,8836,4,2,2,yes,yes,yes,no,no,2,no,unfurnished
5843000,13633,3,1,1,yes,no,no,no,no,1,no,furnished
5809000,9956,2,3,1,no,yes,no,no,yes,0,no,unfurnished
