customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
54,female,46-60,central,electronics,online,ajio,4,Bought it for my kids and they love it. They can't put it down,positive,67,no,no
55,other,18-25,central,electronics,online,zepto,5,"I love this 7"" tablet. I can carry it anywhere. It is very easy to use. The ads don't bother me at all. Very happy with it. The shipping was fast especially being around Christmas!",positive,12,yes,no
56,male,26-35,central,electronics,online,jiomart,1,"I purchased this tablet on a discounted price as an alternative for RC tablet. The operating system is not good, very slow response, apps takes a lot of time to open. Many of the apps like youtube is not made for fire OS, so my little one has a difficult time handling it. After 2 months, I got him RC tablet.",negative,2,yes,yes
57,female,60+,north,books,online,boat,5,"This was a gift for my grandmother and she loves it. It's easy to use, portable, and the battery last long.",positive,22,yes,no
58,male,18-25,north,electronics,online,facebook marketplace,5,"I already had purchased a Fire Stick, because I am a gadget nut and, well, reasons... *heh*. I decided to move up as part of a cord cutting drive, and this unit really shines. With more compute power and buffering space, it does a really nice job, even on fast moving source material. I also like the voice input.",positive,43,no,no
59,female,26-35,north,books,online,snapdeal,5,"To be clear, this is not a tablet. It's a reader... Just a reader. But it's a great reader. Very tactile.",positive,17,yes,no
60,other,26-35,north,electronics,online,myntra,5,Enjoying the kindle fire!!! Great for kids to use!!,positive,18,yes,no
61,female,26-35,west,electronics,online,snapdeal,5,Granddaughter loved it! She began using it right away.,positive,31,no,no
62,other,46-60,north,electronics,online,others,5,I find this product is far better Han Apple TV. Otis easy to use the controls are smooth and it's extremely compact.,positive,48,yes,no
63,other,36-45,west,books,online,swiggy instamart,5,I didn't need to review the product because I alread had one. I purchased the kindle for my wife for our anniversary and she loves it. The best part is you can read it outside in the bright sun or inside .We rarely buy paper books anymore!,positive,54,yes,no
64,female,36-45,east,electronics,online,swiggy instamart,3,The tablet I bought was not what I expected and I wanted to return.,neutral,52,yes,no
65,female,46-60,north,electronics,online,snapdeal,4,Great little tablet for the price. Got on sale at Best Buy for $30 on Black Friday.,positive,52,no,no
66,other,46-60,east,books,online,myntra,2,Bought this for my daughter and she didn't care for it when it came to the apps. Works great for reading.,negative,51,no,yes
67,female,18-25,north,electronics,online,reliance digital,2,Purchased for my kids but it was hard to navigate and ended up with purchasing an iPad,negative,13,no,yes
68,male,46-60,east,books,online,ajio,5,Bought this for my friend. Very happy with this and asked for another one for his friend :),positive,70,yes,no
69,male,18-25,west,electronics,online,nykaa,4,Bought this mainly for my grandkids to play. The time limits you can set is great because they don't argue about who's on the most.,positive,11,yes,no
70,female,60+,central,books,online,flipkart,4,"This kindle is a great buy, pretty simple to use, very convenient.",positive,60,no,no
71,male,36-45,west,electronics,online,snapdeal,4,Bought it for my nephew and he loved it. Great purchase,positive,27,no,no
72,other,18-25,south,books,online,zepto,5,"I have an iPad and find it very difficult to read books on the iPad as there is too much glare and the text isn't sharp. This Kindle Paperwhite is fantastic and the fonts and text is just like in a paper book. It's easy to read, and allows you to adjust to the perfect setting for ones preference.",positive,18,no,no
73,other,36-45,south,electronics,online,others,2,Not the best and the brightest in the market. Bought two of them and one got damaged within the second month. Best buy was not taking it back and amazon asked a price of a whole new one for repair. Good price though but high possibility that the product might not last too long.,negative,49,no,yes
74,male,18-25,central,electronics,online,lenskart,3,I recently bought my fourth Kindle. I bought it because it is familiar and while there are improvements the keyboard is still difficult and not accurate. I also do not like the auto correct especially when writing a document. Browsing is quite good but I am a AOL user and Kindle makes it difficult to use. I definitely would like to see some improvement with making it easier to print.,neutral,47,yes,no
75,male,60+,central,electronics,online,bigbasket,3,This is a neat little device but really not that good for much. I am sure it will improve in the future but I would recommend waiting it out.,neutral,27,no,no
76,other,36-45,south,electronics,online,snapdeal,5,Great item to have but a little more than the fire stick,positive,1,no,no
77,other,18-25,south,electronics,online,facebook marketplace,1,I brought this tablet during the Black Friday sale fast forward to Christmas when my 6 year opens it he was happy I set it up for him two days later it crashed never came back on. Blank screen. He was disappointed and so was I .,negative,49,no,yes
78,other,18-25,north,electronics,online,flipkart,1,"I was tokd if you had wfi there would be no problem to make it work. Wrong, I already gave it to the person and they cannot make it work, they do not have a smart phone, but have computer and wifi... Im afraid I will have to return the item.",negative,32,no,yes
79,other,60+,east,electronics,online,myntra,5,"They both love it! And, play or read all they can.",positive,42,yes,no
80,female,18-25,central,electronics,online,myntra,1,Not Kid friendly at all. Purchased for little nephew. Wasn't given any info on it for sales person either. Took back!!!,negative,14,yes,yes
81,female,26-35,east,electronics,online,shopclues,4,really good value for the price. Easy access to internet and operation.,positive,9,yes,no
82,male,26-35,west,electronics,online,croma,5,This is a great speaker and easy to use. It is really user friendly.,positive,52,yes,no
83,female,18-25,west,electronics,online,shopclues,4,The things that you can do with the Amazon Echo are amazing.,positive,53,yes,no
84,female,46-60,west,books,online,snapdeal,5,Good for smaller kids that cannot play or get to play on Xbox games with 7 other Siblings,positive,61,yes,no
85,male,26-35,central,electronics,online,paytm mall,5,I have no use for cable because I have everything I could ever need in the fire tv.,positive,24,no,no
86,female,18-25,central,books,online,meesho,5,It is very easy to use. Like that font can be magnified. Clear screen is easy to see. Remembers where you stopped reading previously.,positive,55,yes,no
87,male,46-60,central,electronics,online,swiggy instamart,5,Does everything my daughter needs to do as far as playing games,positive,3,yes,yes
88,female,46-60,south,electronics,online,croma,5,Great product. Amazon got it again. Can browse everything I need with ease.,positive,18,yes,yes
89,male,46-60,north,electronics,online,amazon,3,I bought it and wrapped it up immediately. So I couldn't say either way if it was good or not.,neutral,53,yes,no
90,female,46-60,east,electronics,online,jiomart,5,was skeptical about the small size but a few minutes of checking it out showed me that this is a great little tablet. gave as a gift and she loves it. portable and great display.,positive,44,no,yes
91,female,46-60,west,electronics,online,zepto,4,Satisfied with the quality but unlike iPad you have to purchase virus protection,positive,61,yes,no
92,other,36-45,south,books,online,jiomart,4,"I can only compare this to the previous Kindle and is far superior in all aspects but one, the battery. The battery is a lot less reliable and I do not mean by use, the other way. I was used to left my previous kindle several days without to later come back and use it with a decent amount of battery left. In this case I have found this more than once empty.",positive,41,yes,no
93,male,18-25,north,electronics,online,others,5,My son washed it twice! Throw it a few times and it's still ticking.,positive,58,yes,no
94,female,36-45,east,books,online,myntra,5,"I really like my kindle. It is so gentle on my eyes. I don't have to charge it as often either. Lots of great features, highlighting especially is useful as it saves it to a new ' my clippings' file.",positive,7,yes,no
95,other,60+,south,books,online,snapdeal,5,"Small enough to carry every where. When he is using it, you can hear a pin drop.",positive,52,no,no
96,other,18-25,south,books,online,bigbasket,4,"Bought this for reading on the Beach, works great. Plenty of books to choose from.",positive,52,yes,no
97,male,46-60,west,electronics,online,croma,5,"My new Amazon Fire TV works terrific! Great for streaming TV service, PlayStation Vue.",positive,49,no,no
98,male,18-25,west,electronics,online,boat,5,If only the echo could sync up to a wireless Bluetooth speaker to extend it- it would be even better.,positive,20,no,no
99,other,18-25,central,electronics,online,boat,5,"This is my 4th tablet (all different brands) and it's the best yet! Easy to set up, loads and run fast. No problem getting books and apps. All for only $50!!! Also bought one for my husband and he loves his, too.",positive,54,yes,yes
100,male,36-45,west,electronics,online,bigbasket,5,Checking e-mail is a breeze. All the apps you could ever want. I don't need my computer anymore.,positive,12,yes,no
101,male,18-25,north,electronics,online,flipkart,5,This is a great device ! Nice sound easy to set up,positive,45,no,no
102,female,18-25,east,electronics,online,paytm mall,4,Great tablet for the kids they can use it for games.,positive,21,no,no
103,male,18-25,west,electronics,online,lenskart,4,i bought this for my husband and he loves using it,positive,4,no,no
104,other,60+,central,electronics,online,swiggy instamart,5,The best item I have ever seen in my life and so glad I found this item....:),positive,67,no,yes
105,other,18-25,central,electronics,online,lenskart,5,"if you need a media player and access to Amazon Prime Video, this is the perfect device. Interface is smooth and efficient. I have one for each TV in my house.",positive,67,no,no
106,female,60+,central,electronics,online,meesho,3,Good for kids good for reading not good for much else,neutral,13,no,no
107,other,46-60,west,electronics,online,bigbasket,5,"It's a good addition to the gadgets. Alexa helps manage shopping lists, connects to phone using Bluetooth to play music apart from the music on Amazon Prime. Alexa has a pretty good collection of jokes and can keep kids at home entertained.I plan on purchasing Hue range of lights that can be controlled using Echo soon.",positive,54,no,no
108,other,26-35,north,electronics,online,tata cliq,5,"I love the 2 cameras, and the video capabilities. I have set up the picture albums and can even share on Facebook and messenger. I like the side charger. Much better than front.I love the size too.",positive,44,yes,no
109,male,18-25,west,electronics,online,jiomart,3,"Since this is an Android 5 based tablet, I sideloaded a few necessary apps to allow it to be used essentially the same as an Android tablet, with Google play store, etc. The screen resolution, speaker, RAM are just only adequate. Otherwise, a good cheap tablet. Really need to ponder its utility before buying it.",neutral,70,yes,no
110,other,26-35,east,electronics,online,boat,4,Nice basic reader. Had the first model kindle and this is quite a bit lighter,positive,70,yes,no
111,female,26-35,west,books,online,snapdeal,4,"Great size, easy to read at night and no glare screen.",positive,53,yes,no
112,male,26-35,east,electronics,online,paytm mall,5,I love it! Loaded lots of things for my self and kids. The price was also great !! Even my kinds can use it easily . I have recommended it to many of my friends and family . Enjoying it to the fullest . I use over wifi and with my internet as well,positive,44,no,no
113,male,26-35,central,electronics,online,reliance digital,5,This was simple to install and allows me to stream all of my favorite programs.,positive,17,yes,no
114,other,46-60,west,electronics,online,reliance digital,5,Excellent kindle for the price. Works great and ordering from Best Buy online was amazing.,positive,49,yes,no
115,other,36-45,north,books,online,paytm mall,5,Very easy to use and can be read in direct sunlight,positive,16,yes,no
116,male,26-35,south,electronics,online,boat,4,Only few skills were added to Alexa. And When my kids are asking general educational related it is not giving them right answers.,positive,62,no,no
117,female,26-35,north,electronics,online,flipkart,3,Ok device for the asking price. Would give as first time user,neutral,67,no,no
118,other,36-45,west,electronics,online,bigbasket,3,"These are great tablets for the kids and the price is wonderful with the warranty and the soft, yet bulky (a good thing in this instance) case. The only thing I wish, was that it could access the Google Play Store so my kids could watch the movies we have in our Google Play Movies account.",neutral,59,yes,no
119,female,26-35,north,electronics,online,zepto,5,I got this tablet for my grandson as a Christmas gift because of the timed parental control feature.,positive,22,no,no
120,female,60+,east,electronics,online,ajio,5,Great alternative to cable. I have purchased these for several of my family members. I have a 70 inch 4K tv and the picture is clear. The device is user friendly and can get many apps.,positive,15,yes,no
121,other,36-45,north,books,online,nykaa,5,Nice lightweight reader. Very thin and so easy to use and navigate! Love it,positive,68,no,no
122,other,60+,south,electronics,online,ajio,3,"Bought this to replace 2015 Black Friday Fire after and the battery died. While there is a lot of value built into the tablet, the battery in the first one started acting up after 6 months and progressed into not able to hold a charge. As my family had grown to like it, we bought another one with strong reservation. I hope this one lasts longer and I'd recommend it if does.",neutral,36,no,no
123,other,18-25,south,electronics,online,meesho,4,I needed something to read kindle books on and to watch occasional videos with. This inexpensive tablet packs a lot of features for a great price. Does everything I ask of it.,positive,30,yes,no
124,female,18-25,central,electronics,online,paytm mall,1,"Table overall was ok but after 30 days it wouldn't work, and there was no warranty after 30 for Best Buy so I just waste 30 for nothing",negative,68,yes,yes
125,male,60+,central,electronics,online,snapdeal,5,"This is a great buy for music, news and any kind of information you want.",positive,6,no,no
126,other,36-45,central,electronics,online,ajio,5,Added to smart home system and works great. System itself is also great to learn new things.,positive,51,yes,no
127,female,60+,east,books,online,snapdeal,5,Truly glare free in any light! Very easy to download books from Amazon including linking to my local library.,positive,27,no,no
128,female,18-25,north,books,online,croma,5,I had a kindle for several years that I thought was adequate until I purchased the paper white. What a difference with all of the added features this Kindle offers. I like the light with it's brightness feature most of all. The ease of use makes it a great e reader for everyone. I highly recommend the new PaperWhite.,positive,60,yes,no
129,female,18-25,west,electronics,online,paytm mall,5,Can't believe how smooth it works.Highly recommend it.,positive,68,no,no
130,female,60+,north,electronics,online,swiggy instamart,5,Have fun with it .Good game Good apps . Easy to used,positive,70,no,no
131,male,46-60,south,books,online,meesho,5,I've had several kindles over the years and this is by far the best one yet! I love the paper white and will never go back to anything else. I use it everywhere! You will not regret this purchase!,positive,60,yes,no
132,female,46-60,east,electronics,online,shopclues,3,I bought this as a result of my television internet connection being faulty. This was a good alternative to purchasing a new television set. It serves its purpose. My biggest issue is setting it up aesthetically with my television and sound bar,neutral,19,yes,no
133,other,18-25,north,electronics,online,meesho,5,Very easy to use and the battery life last long on this this tablet. I am very happy that I purchased this item:),positive,31,yes,no
134,male,26-35,south,electronics,online,others,4,"awesome little tablet with lots of functionality. my biggest complaint is the lack of power in the volume. besides that, there are too many apps on the home screen that gets in the way and looks cluttered. i have not found a simple way to remove them yet.",positive,15,no,yes
135,other,26-35,east,electronics,online,ajio,2,Every time it was turned on and Every time I went to the Internet I had advertisement. If I'm going to pay money for something I certainly don't want advertisement along with it. If it were free okay fine advertise to me.The advertisement could not be shut off. I returned it.,negative,45,no,yes
136,male,26-35,west,books,online,boat,4,We already had a tablet for our son and it was time to get one for our daughter. They are a good learning tool.,positive,15,no,no
137,other,46-60,east,electronics,online,nykaa,1,"i Bought this around black friday for $60 hoping it would be awesome... it failed so hard i tried multiple different micro SD cards none of which were recognized and YES i formated them with every format i could think of ... Fat32, NTFS, Fat, Xfat... i even tried to have the tablet do it... didnt work... to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps... the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store... i tried to also use aftermarket play stores to play COC but it didnt work... launched and played 1 time but didnt work or update after that... needless to say i returned it and bought a $250 samsung galaxy tab A 10.1 (2016 version) with S-pen and its WAYYYYY better... bottom line you get what you pay for... also hint the s-pen version has an extra 1 GB of ram over the non pen version... so you should get that if you can afford the extra $50...",negative,5,yes,yes
138,female,46-60,central,electronics,online,shopclues,3,"I bought this expecting the same quality i have received in the previous 3 kindles I purchased. I am disappointed. I like the price. The home screen is just all the apps right in your face, not just the ones you want, like in the older version kindle fire. I mostly use it for reading books, and so far I'm dissatisfied. It's great to swipe to the next page, but when I want to go to settings or something else while reading I find it difficult to open. Instead the page just turns and by the time I finally get to the book settings, I've lost my spot! I downloaded the Facebook app and it's very slow. Maybe it's Amazons way of telling me that's what I get for $50 but come on. Sometimes I like to use the kindle to search the web and that too is slow. I compared it to my older version and there is a noticible difference in speed. I know there are other cool user tools, but for me I mostly use it to read and check Facebook and maybe Pinterest. It's priced well if you want it for kids, it's user friendly and my kids have already figured out all the options. I would recommend it for kids or for people who are technologically not savvy.",neutral,10,no,yes
139,female,36-45,south,electronics,online,facebook marketplace,3,"The apps I really want it won't let me download. I don't like that I HAVE to sign up for ""One Click"" with a credit card.",neutral,34,no,yes
140,female,36-45,central,electronics,online,reliance digital,3,"I own 3 of these kindles, for my children who are young. They can take some wear and tear, but recently one of mine quit charging. The charger will no longer connect with the port inside the kindle. The kindle itself was working just fine, but since it can no longer be charged, it is no longer functioning. I am really disappointed, and plan on buying a replacement. My children love being able to play on the kindle and for the price you really can't beat the deal.",neutral,17,yes,no
141,male,46-60,central,electronics,online,amazon,5,"I purchased the HD 8 to use as a viewer for my Pearl RearVision camera, which requires dual band Wi-Fi and Blue tooth. I installed the programs & got everything up and working beautifully. However I was so impressed with its features, performance, and ease of use, that I've added a 128 gb MicroSD card so I can download Amazon videos for my grand kids to watch while we are on the road. The price was terrific as well, but comes with the cost of ""free"" ads when the you turn on the tablet. (FYI the tablet mounts magnetically to the vent holder and is removed when not in use.)",positive,15,no,no
142,female,46-60,west,electronics,online,lenskart,3,"acts up a lot , but has a lot of good features. but then again i should go over the instructions.",neutral,53,yes,yes
143,female,26-35,north,electronics,online,others,3,"Very simple, works good for checking email and surfing. Very Amazon intense. Lots of advertising.",neutral,3,no,no
144,female,18-25,central,electronics,online,bigbasket,5,"Excellent -- has quickly become an invaluable feature of our house. Voice recognition, even from a distance, is very good.",positive,60,yes,no
145,female,36-45,west,electronics,online,zepto,4,"I bought this for my father for Christmas. He has a smartphone, but the screen is getting a little too smail for him to read, so I thought I smaller tablet might be nice. I was right. He absolutely loves his Kindle!",positive,13,no,no
146,other,26-35,north,electronics,online,boat,5,This product blows ROKU out of the water! I would definitely recommend this to my friends!,positive,7,no,no
147,male,60+,south,electronics,online,zepto,5,"Great product, makes life easier. Gaining in intelligence.",positive,66,no,no
148,male,60+,central,electronics,online,paytm mall,4,Got this for my nephews and they love love love it!,positive,32,no,no
149,female,46-60,west,electronics,online,nykaa,5,"I have a couple of iPads and decided to get this for general browsing, movie watching etc. Very pleased with the overall package. An added bonus is the very nice Amazon integration.",positive,9,yes,no
150,other,26-35,east,electronics,online,meesho,5,We are glad we bought this great for movies and everyday games,positive,50,yes,yes
151,other,60+,south,electronics,online,lenskart,5,Wife loves this thing. She reads nonstop on it. She can't put it down,positive,53,yes,no
152,male,18-25,south,electronics,online,nykaa,5,"wonderful, I have 3 more at home, worth the money.",positive,10,no,no
153,male,36-45,south,electronics,online,snapdeal,5,I've purchased 3 tablets so far as gifts.I've gotten great feedback on all purchases. The price was affordable and easy to operate for 2 eight year olds.,positive,59,no,no
154,female,46-60,south,books,online,others,5,"Easy to Use, Backlight feature is really nice. Like that you can adjust the font sizes and type.",positive,39,no,no
155,other,36-45,east,electronics,online,nykaa,1,"I ordered two of these tablets, one for 4 yr old, and another for mom. It is not user friendly, difficult to use and full of advertisements even when not online. Comes with games that kids enjoy, but very limited on other application options. Book ordering requires monthly subscriptions. We have purchased another product for mom, and the 4 yr old quickly got bored with the limited options, and I got frustrated trying to navigate.",negative,48,no,yes
156,female,36-45,east,electronics,online,snapdeal,4,"Pros: liked the warranty, liked that it came with a case making it cost less than buying one separately. Cons: One grandchild was too old for the games included on his locked portion. Was hoping I could put games on a particular grandchilds site and lock it so he couldn't download other things. Would recommend this only for very young children.",positive,68,no,yes
157,female,60+,central,books,online,flipkart,5,My granddaughter loved it. She used it for her school work.,positive,1,yes,no
158,female,18-25,south,electronics,online,snapdeal,5,I purchased a fire stick months ago. I like the product but wanted something more. The Fire TV is the way to go. The extra money for the fire tv is well worth it.,positive,33,no,no
159,other,46-60,central,electronics,online,myntra,5,Alexa is ready quickly and very easy to use. Accurate information and good sound quality,positive,63,no,no
160,female,26-35,south,electronics,online,others,4,Brand name tablet at a no-name price! Seems fast & the display is bright. And it's backed by Amazon.,positive,2,yes,no
161,other,36-45,north,electronics,online,snapdeal,3,"Fun to use but not fun with the software. I tried forever to get it to recognize my light modules to turn the lamps on and off. I gave up. If they ever fix the software it would be great. Other than that, it is nice to ask Alexa things and play music. Speaker is good. Amazon Echo software needs a lot of improvement.",neutral,59,no,no
162,female,46-60,east,electronics,online,bigbasket,5,"My amazon fire is amazing, it is fast and is durable.",positive,13,no,yes
163,male,60+,east,electronics,online,myntra,3,There is nothing spectacular about this item but also nothing majorly wrong with it. The biggest flaw is that this is geared to kids and there is no way that I have found searching settings or online to lock the touch screen so that a video keeps playing if the child hits the screen. This means lots of times helping get back into the movie or show rather than just relaxing like an iPad can do with guided access activated.,neutral,8,yes,yes
164,male,18-25,central,electronics,online,meesho,4,"Good product, everything I was looking for in the Echo.",positive,7,yes,no
165,female,60+,west,books,online,others,4,Easy to use and long battery life. The size of font is easy to adjust but I wish graphics and pictures can be enlarged as well.,positive,58,yes,no
166,other,18-25,central,electronics,online,amazon,5,"Such a neat addition to our home. Alexa keeps up with my shopping list and reminders. Plus, my son loves her games and stories!",positive,50,no,no
167,female,60+,west,electronics,online,reliance digital,1,"From the minute you turn it on there's advertising. The OS is very different from a standard tablet OS - I couldn't get an app that I wanted from the Google Play Store - it just wouldn't work on this. As I said before, I found the amount of advertising just ridiculous.",negative,46,no,yes
168,female,26-35,east,electronics,online,facebook marketplace,5,The kids love it and easy to understand. Great parental controls as well.,positive,56,yes,no
169,female,46-60,north,books,online,paytm mall,4,"Compared to previous generation kindle, this one is much user friendly and overall a good ereader.",positive,41,no,no
